0.0,88.7,1
0.0,92.2,1
0.0,80.8,1
0.0,84.5,1
0.0,88.9,1
0.0,89.2,1
0.0,85.8,1
0.0,93.9,1
0.1,79.7,-1
2.2,63.7,-1
0.1,90.6,1
0.0,88.0,1
0.6,68.3,-1
0.0,88.9,1
0.0,84.2,1
0.3,77.1,-1
4.6,40.9,-1
0.0,87.4,1
0.0,83.8,1
0.0,92.1,1
0.2,88.9,1
0.1,84.7,1
0.0,82.2,1
0.0,89.4,1
0.0,88.7,1
0.0,92.2,1
0.0,84.6,1
0.0,88.1,1
0.0,82.6,1
0.0,90.3,1
0.0,79.4,-1
0.0,89.1,1
0.5,73.7,-1
0.0,86.8,1
0.0,90.6,1
0.0,92.1,1
2.9,74.8,-1
1.2,55.7,-1
1.2,50.0,-1
0.0,87.0,1
0.3,79.9,-1
0.0,81.8,-1
0.0,85.4,1
0.2,77.1,-1
10.1,30.5,-1
0.6,85.2,1
0.1,73.4,-1
0.1,68.4,-1
4.5,64.6,-1
0.4,93.0,1
0.3,80.2,1
0.1,75.1,-1
0.0,87.7,1
1.1,59.5,-1
0.0,89.4,1
0.8,74.2,-1
0.0,89.0,1
0.0,88.9,1
0.0,89.1,1
0.0,78.3,-1
0.0,94.2,1
0.0,65.7,-1
13.1,47.1,-1
0.0,89.3,1
0.0,82.8,1
1.0,56.1,-1
0.4,47.4,-1
0.0,87.8,1
1.1,72.8,-1
0.8,72.7,-1
0.0,88.9,1
0.0,88.1,1
3.8,77.5,-1
0.3,69.6,-1
0.2,80.0,-1
1.1,78.3,-1
0.0,78.8,-1
0.1,81.4,1
0.0,85.7,1
0.5,85.0,1
0.0,66.8,-1
0.0,84.0,1
0.0,79.9,-1
0.0,89.1,1
0.6,86.2,1
0.0,64.8,-1
0.7,57.1,-1
0.7,63.1,-1
0.2,60.2,-1
0.0,91.5,1
4.7,62.2,-1
0.4,78.0,-1
0.7,53.4,-1
0.2,85.6,1
0.0,83.3,1
0.0,93.3,1
0.0,88.9,1
0.0,91.2,1
0.0,85.0,1
0.4,60.7,-1
6.5,64.5,-1
0.0,81.1,-1
4.0,55.7,-1
0.0,85.9,1
0.0,89.3,1
0.0,80.0,-1
0.0,88.6,1
0.7,66.6,-1
0.0,89.5,1
0.0,85.4,1
3.8,42.6,-1
0.0,93.7,1
0.6,73.9,-1
0.0,85.3,1
0.0,87.4,1
2.5,28.6,-1
8.3,47.4,-1
0.1,70.0,-1
0.0,88.9,1
0.0,82.5,1
2.0,61.3,-1
0.0,88.6,1
0.1,81.4,1
0.0,90.1,1
0.0,88.3,1
0.0,85.9,1
0.1,82.7,1
0.0,86.6,1
0.0,89.9,1
0.0,89.3,1
16.8,52.5,-1
0.0,89.5,1
0.2,73.5,-1
0.0,83.1,1
0.0,90.1,1
0.2,52.9,-1
0.5,59.0,-1
0.0,85.4,1
0.0,91.0,1
0.0,89.4,1
0.3,56.9,-1
0.0,90.5,1
0.3,81.3,-1
0.1,83.9,1
2.0,72.3,-1
0.0,96.0,1
0.0,79.2,-1
0.3,76.6,-1
0.0,84.3,1
0.0,78.1,-1
0.0,85.4,1
0.0,92.5,1
0.0,87.3,1
0.0,89.2,1
2.9,69.7,-1
4.4,41.1,-1
0.0,75.4,-1
0.0,86.1,1
0.0,86.6,1
0.0,88.1,1
0.0,89.4,1
0.1,79.1,-1
0.0,86.5,1
0.0,86.0,1
1.9,82.3,1
0.0,89.0,1
0.1,88.3,1
0.0,91.7,1
1.3,71.4,-1
0.0,85.6,1
0.3,84.7,1
0.0,93.9,1
1.3,64.4,-1
0.4,68.2,-1
0.0,92.5,1
0.1,78.1,-1
1.7,79.7,-1
0.0,71.0,-1
0.9,62.0,-1
5.8,48.6,-1
0.0,84.9,1
0.0,83.7,1
0.0,87.0,1
0.0,37.9,-1
0.4,79.2,-1
1.4,45.0,-1
0.2,67.3,-1
0.0,81.0,1
3.1,70.5,-1
0.0,88.9,1
0.4,44.9,-1
3.1,49.4,-1
7.2,46.0,-1
0.0,87.5,1
1.8,58.5,-1
